test_id	test_source_row	test_label	train_id	train_source_row	train_label	token_jaccard	char5_jaccard	rapidfuzz_ratio	adjudication	subtype_assist
test:00002095	2095	irony	train:00022088	22088	irony	0.9090909090909092	0.8875	0.9433962264150944	CONFIRMED_FAMILY	same_source_template_variant
test:00002442	2442	irony	train:00025309	25309	irony	0.8666666666666667	0.8867924528301887	0.9395348837209302	CONFIRMED_FAMILY	same_source_template_variant
test:00002868	2868	irony	train:00029456	29456	irony	0.8571428571428571	0.851063829787234	0.9263157894736842	CONFIRMED_FAMILY	same_source_template_variant
test:00002983	2983	irony	train:00033313	33313	irony	1.0	0.9827586206896552	0.9921259842519686	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00003054	3054	irony	train:00031234	31234	irony	0.9	0.7619047619047619	0.9243697478991596	CONFIRMED_FAMILY	same_source_template_variant
test:00003070	3070	irony	train:00031558	31558	irony	0.8181818181818182	0.8135593220338984	0.9043478260869564	CONFIRMED_FAMILY	same_source_template_variant
test:00003123	3123	irony	train:00026938	26938	irony	1.0	1.0	0.9666666666666668	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00003486	3486	irony	train:00035508	35508	irony	1.0	0.845360824742268	0.90625	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00003746	3746	irony	train:00038171	38171	irony	0.9166666666666666	0.8493150684931506	0.923076923076923	CONFIRMED_FAMILY	same_source_template_variant
test:00003877	3877	irony	train:00036973	36973	irony	0.9285714285714286	0.8571428571428571	0.9324324324324323	CONFIRMED_FAMILY	same_source_template_variant
test:00003924	3924	irony	train:00040847	40847	irony	1.0	0.8	0.851063829787234	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004032	4032	irony	train:00041232	41232	irony	1.0	0.922077922077922	0.9753086419753086	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004054	4054	irony	train:00041564	41564	irony	0.9166666666666666	0.8762886597938144	0.922279792746114	CONFIRMED_FAMILY	same_source_template_variant
test:00004073	4073	irony	train:00041164	41164	irony	1.0	0.9915254237288136	0.9959183673469388	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004088	4088	irony	train:00041562	41562	irony	1.0	0.8	0.8888888888888888	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004148	4148	irony	train:00041841	41841	irony	0.9	0.8	0.8741721854304636	CONFIRMED_FAMILY	same_source_template_variant
test:00004169	4169	regular	train:00042572	42572	regular	0.8	0.8108108108108109	0.9488372093023256	CONFIRMED_FAMILY	same_source_template_variant
test:00004173	4173	regular	train:00042473	42473	regular	0.7692307692307693	0.7636363636363637	0.9523809523809522	CONFIRMED_FAMILY	same_source_template_variant
test:00004177	4177	regular	train:00042375	42375	regular	0.8461538461538461	0.794392523364486	0.9411764705882352	CONFIRMED_FAMILY	same_source_template_variant
test:00004237	4237	regular	train:00043238	43238	regular	0.8571428571428571	0.8837209302325582	0.9882352941176472	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004251	4251	regular	train:00043238	43238	regular	0.8571428571428571	0.8837209302325582	0.9882352941176472	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004271	4271	regular	train:00042964	42964	regular	0.9090909090909092	0.84	0.961038961038961	CONFIRMED_FAMILY	same_source_template_variant
test:00004285	4285	regular	train:00046186	46186	regular	0.8181818181818182	0.8484848484848485	0.9852941176470588	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004288	4288	regular	train:00043857	43857	regular	0.8421052631578947	0.7345132743362832	0.9215686274509804	CONFIRMED_FAMILY	same_source_template_variant
test:00004305	4305	regular	train:00043874	43874	regular	0.8235294117647058	0.7247706422018348	0.9387755102040816	CONFIRMED_FAMILY	same_source_template_variant
test:00004332	4332	regular	train:00045236	45236	regular	0.8888888888888888	0.808	0.95	CONFIRMED_FAMILY	same_source_template_variant
test:00004365	4365	regular	train:00047338	47338	regular	0.8461538461538461	0.8804347826086957	0.9844559585492229	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004391	4391	regular	train:00044649	44649	regular	0.9	0.8857142857142857	0.971830985915493	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004394	4394	regular	train:00047770	47770	regular	0.7894736842105263	0.8548387096774194	0.9666666666666668	CONFIRMED_FAMILY	same_source_template_variant
test:00004405	4405	regular	train:00044275	44275	regular	0.8571428571428571	0.7631578947368421	0.9333333333333332	CONFIRMED_FAMILY	same_source_template_variant
test:00004410	4410	regular	train:00044715	44715	regular	0.8888888888888888	0.8070175438596491	0.9189189189189187	CONFIRMED_FAMILY	same_source_template_variant
test:00004429	4429	regular	train:00046981	46981	regular	1.0	1.0	0.972222222222222	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004435	4435	regular	train:00046288	46288	regular	0.8461538461538461	0.8901098901098901	0.99009900990099	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004487	4487	regular	train:00045588	45588	regular	0.9375	0.8416666666666667	0.9523809523809522	CONFIRMED_FAMILY	same_source_template_variant
test:00004562	4562	regular	train:00046551	46551	regular	0.9166666666666666	0.8913043478260869	0.9504950495049505	CONFIRMED_FAMILY	same_source_template_variant
test:00004563	4563	regular	train:00054020	54020	regular	1.0	0.9636363636363636	0.9833333333333332	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004567	4567	regular	train:00046035	46035	regular	0.8181818181818182	0.8461538461538461	0.984375	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004568	4568	regular	train:00046469	46469	regular	0.8461538461538461	0.8390804597701149	0.9479166666666664	CONFIRMED_FAMILY	same_source_template_variant
test:00004600	4600	regular	train:00044525	44525	regular	0.8461538461538461	0.8421052631578947	0.9767441860465116	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004624	4624	regular	train:00046552	46552	regular	1.0	0.9895833333333334	0.9950738916256158	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004654	4654	regular	train:00044895	44895	regular	1.0	0.9285714285714286	0.9833333333333332	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004672	4672	regular	train:00047404	47404	regular	0.9285714285714286	0.9111111111111112	0.9444444444444444	CONFIRMED_FAMILY	same_source_template_variant
test:00004681	4681	regular	train:00047404	47404	regular	0.9285714285714286	0.8279569892473119	0.8426966292134833	CONFIRMED_FAMILY	same_source_template_variant
test:00004683	4683	regular	train:00044797	44797	regular	1.0	0.9285714285714286	0.9833333333333332	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004690	4690	regular	train:00047320	47320	regular	0.7142857142857143	0.75	0.9534883720930232	CONFIRMED_FAMILY	same_source_template_variant
test:00004724	4724	regular	train:00047320	47320	regular	0.7142857142857143	0.75	0.9651162790697676	CONFIRMED_FAMILY	same_source_template_variant
test:00004790	4790	regular	train:00043153	43153	regular	1.0	0.9285714285714286	0.9833333333333332	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004809	4809	regular	train:00046359	46359	regular	1.0	0.9636363636363636	0.9833333333333332	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004816	4816	regular	train:00049953	49953	regular	0.9130434782608696	0.8991596638655462	0.94017094017094	CONFIRMED_FAMILY	same_source_template_variant
