run	family	condition	accuracy	macro_precision	macro_recall	macro_f1	weighted_f1	irony_to_sarcasm	sarcasm_to_irony	test_n	test_id_sha256
D0_majority_AC	D0	AC	0.35244661173701025	0.11748220391233676	0.3333333333333333	0.17373285258402751	0.18369466572193796	0	2102	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
D0_stratified_random_AC	D0	AC	0.3341180427106104	0.3320810433185535	0.33188462875046626	0.33191679436293997	0.33402820825353746	721	795	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
D0_majority_GC	D0	GC	0.35244661173701025	0.11748220391233676	0.3333333333333333	0.17373285258402751	0.18369466572193796	0	2102	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
D0_stratified_random_GC	D0	GC	0.33394989070119385	0.3317721429731398	0.3315664737410784	0.3315983513138941	0.3338009987433854	723	796	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
D1_direct_marker_AL	D1	A-L	1.0	1.0	1.0	1.0	1.0	0	0	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
D2_marker_only_LR_AL	D2	A-L	1.0	1.0	1.0	1.0	1.0	0	0	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
D3_surface_only_LR_AC	D3	AC	0.584328232722381	0.5947604454769363	0.5926606598890154	0.5935196173215554	0.5849134559265587	747	822	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
D3_surface_only_LR_GC	D3	GC	0.5851689927694635	0.5955386285036216	0.5934860154571003	0.5943388975104037	0.5857469166519516	747	819	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
S1_word_tfidf_LR_AC	S1	AC	0.8194047418866656	0.824915987101209	0.8285651420858398	0.8265124765933042	0.8182662380376392	447	508	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
S1_word_tfidf_LR_GC	S1	GC	0.8187321338489995	0.8240030374574324	0.827990751961366	0.8257858412369119	0.8175111898323276	454	504	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
S2_word_tfidf_SVC_AC	S2	AC	0.818900285858416	0.8231953171654229	0.8286577949533459	0.8255665906107232	0.8171829371387854	456	506	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
S2_word_tfidf_SVC_GC	S2	GC	0.8175550697830839	0.82192201792925	0.8273887079575609	0.8242774044569674	0.8158174976481213	457	513	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
S3_char_tfidf_SVC_AC	S3	AC	0.8194047418866656	0.8257401401917462	0.8293625675299531	0.827302210073032	0.8182097821917954	471	538	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
S3_char_tfidf_SVC_GC	S3	GC	0.818900285858416	0.8253345463702922	0.8288872840848881	0.8268473735888592	0.8177115233985248	471	542	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82
